Capabilities,SubCapability,TEBStatus,NameofTools,Version,ToolDescription,StandardsComments,EANotes,Manufacturer,StandardCategory,EAReferenceID,MetaTags,MetaTagsDescription,CapabilityManager
Cloud Platforms,IaaS Compute,Approved,Azure Virtual Machines,2026.2,Azure Virtual Machines is used for iaas compute within the cloud platforms domain.,Approved for IaaS Compute. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Azure,Standard,EA-STD-0001,cloud platforms;iaas-compute;enterprise;standard,,
Cloud Platforms,IaaS Compute,Approved,Azure Virtual Machines,2026.3,Azure Virtual Machines is used for iaas compute within the cloud platforms domain.,Approved for IaaS Compute. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Azure,Allowed,EA-STD-0002,cloud platforms;iaas-compute;enterprise;standard,,
Cloud Platforms,IaaS Compute,Conditional,Azure Virtual Machines,2026.4,Azure Virtual Machines is used for iaas compute within the cloud platforms domain.,Conditional for IaaS Compute. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Azure,Restricted,EA-STD-0003,cloud platforms;iaas-compute;enterprise;standard,,
Cloud Platforms,IaaS Compute,UnderReview,AWS EC2,2026.5,AWS EC2 is used for iaas compute within the cloud platforms domain.,UnderReview for IaaS Compute. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",AWS,Sunset,EA-STD-0004,cloud platforms;iaas-compute;enterprise;standard,,
Cloud Platforms,IaaS Compute,Deprecated,AWS EC2,2026.1,AWS EC2 is used for iaas compute within the cloud platforms domain.,Deprecated for IaaS Compute. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",AWS,Strategic,EA-STD-0005,cloud platforms;iaas-compute;enterprise;standard,,
Cloud Platforms,IaaS Compute,Exception,AWS EC2,2026.2,AWS EC2 is used for iaas compute within the cloud platforms domain.,Exception for IaaS Compute. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",AWS,Standard,EA-STD-0006,cloud platforms;iaas-compute;enterprise;standard,,
Cloud Platforms,IaaS Compute,Approved,Google Compute Engine,2026.3,Google Compute Engine is used for iaas compute within the cloud platforms domain.,Approved for IaaS Compute. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Google,Allowed,EA-STD-0007,cloud platforms;iaas-compute;enterprise;standard,,
Cloud Platforms,IaaS Compute,Approved,Google Compute Engine,2026.4,Google Compute Engine is used for iaas compute within the cloud platforms domain.,Approved for IaaS Compute. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Google,Restricted,EA-STD-0008,cloud platforms;iaas-compute;enterprise;standard,,
Cloud Platforms,IaaS Compute,Approved,Google Compute Engine,2026.5,Google Compute Engine is used for iaas compute within the cloud platforms domain.,Approved for IaaS Compute. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Google,Sunset,EA-STD-0009,cloud platforms;iaas-compute;enterprise;standard,,
Cloud Platforms,Container Platform,Conditional,AKS,2026.1,AKS is used for container platform within the cloud platforms domain.,Conditional for Container Platform. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",AKS,Strategic,EA-STD-0010,cloud platforms;container-platform;enterprise;standard,,
Cloud Platforms,Container Platform,UnderReview,AKS,2026.2,AKS is used for container platform within the cloud platforms domain.,UnderReview for Container Platform. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",AKS,Standard,EA-STD-0011,cloud platforms;container-platform;enterprise;standard,,
Cloud Platforms,Container Platform,Deprecated,AKS,2026.3,AKS is used for container platform within the cloud platforms domain.,Deprecated for Container Platform. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",AKS,Allowed,EA-STD-0012,cloud platforms;container-platform;enterprise;standard,,
Cloud Platforms,Container Platform,Exception,EKS,2026.4,EKS is used for container platform within the cloud platforms domain.,Exception for Container Platform. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",EKS,Restricted,EA-STD-0013,cloud platforms;container-platform;enterprise;standard,,
Cloud Platforms,Container Platform,Approved,EKS,2026.5,EKS is used for container platform within the cloud platforms domain.,Approved for Container Platform. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",EKS,Sunset,EA-STD-0014,cloud platforms;container-platform;enterprise;standard,,
Cloud Platforms,Container Platform,Approved,EKS,2026.1,EKS is used for container platform within the cloud platforms domain.,Approved for Container Platform. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",EKS,Strategic,EA-STD-0015,cloud platforms;container-platform;enterprise;standard,,
Cloud Platforms,Container Platform,Approved,GKE,2026.2,GKE is used for container platform within the cloud platforms domain.,Approved for Container Platform. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",GKE,Standard,EA-STD-0016,cloud platforms;container-platform;enterprise;standard,,
Cloud Platforms,Container Platform,Conditional,GKE,2026.3,GKE is used for container platform within the cloud platforms domain.,Conditional for Container Platform. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",GKE,Allowed,EA-STD-0017,cloud platforms;container-platform;enterprise;standard,,
Cloud Platforms,Container Platform,UnderReview,GKE,2026.4,GKE is used for container platform within the cloud platforms domain.,UnderReview for Container Platform. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",GKE,Restricted,EA-STD-0018,cloud platforms;container-platform;enterprise;standard,,
Cloud Platforms,Serverless Functions,Deprecated,Azure Functions,2026.5,Azure Functions is used for serverless functions within the cloud platforms domain.,Deprecated for Serverless Functions. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Azure,Sunset,EA-STD-0019,cloud platforms;serverless-functions;enterprise;standard,,
Cloud Platforms,Serverless Functions,Exception,Azure Functions,2026.1,Azure Functions is used for serverless functions within the cloud platforms domain.,Exception for Serverless Functions. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Azure,Strategic,EA-STD-0020,cloud platforms;serverless-functions;enterprise;standard,,
Cloud Platforms,Serverless Functions,Approved,Azure Functions,2026.2,Azure Functions is used for serverless functions within the cloud platforms domain.,Approved for Serverless Functions. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Azure,Standard,EA-STD-0021,cloud platforms;serverless-functions;enterprise;standard,,
Cloud Platforms,Serverless Functions,Approved,AWS Lambda,2026.3,AWS Lambda is used for serverless functions within the cloud platforms domain.,Approved for Serverless Functions. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",AWS,Allowed,EA-STD-0022,cloud platforms;serverless-functions;enterprise;standard,,
Cloud Platforms,Serverless Functions,Approved,AWS Lambda,2026.4,AWS Lambda is used for serverless functions within the cloud platforms domain.,Approved for Serverless Functions. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",AWS,Restricted,EA-STD-0023,cloud platforms;serverless-functions;enterprise;standard,,
Cloud Platforms,Serverless Functions,Conditional,AWS Lambda,2026.5,AWS Lambda is used for serverless functions within the cloud platforms domain.,Conditional for Serverless Functions. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",AWS,Sunset,EA-STD-0024,cloud platforms;serverless-functions;enterprise;standard,,
Cloud Platforms,Serverless Functions,UnderReview,Google Cloud Functions,2026.1,Google Cloud Functions is used for serverless functions within the cloud platforms domain.,UnderReview for Serverless Functions. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Google,Strategic,EA-STD-0025,cloud platforms;serverless-functions;enterprise;standard,,
Cloud Platforms,Serverless Functions,Deprecated,Google Cloud Functions,2026.2,Google Cloud Functions is used for serverless functions within the cloud platforms domain.,Deprecated for Serverless Functions. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Google,Standard,EA-STD-0026,cloud platforms;serverless-functions;enterprise;standard,,
Cloud Platforms,Serverless Functions,Exception,Google Cloud Functions,2026.3,Google Cloud Functions is used for serverless functions within the cloud platforms domain.,Exception for Serverless Functions. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Google,Allowed,EA-STD-0027,cloud platforms;serverless-functions;enterprise;standard,,
Cloud Platforms,Cloud Governance,Approved,Azure Policy,2026.4,Azure Policy is used for cloud governance within the cloud platforms domain.,Approved for Cloud Governance. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Azure,Restricted,EA-STD-0028,cloud platforms;cloud-governance;enterprise;standard,,
Cloud Platforms,Cloud Governance,Approved,Azure Policy,2026.5,Azure Policy is used for cloud governance within the cloud platforms domain.,Approved for Cloud Governance. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Azure,Sunset,EA-STD-0029,cloud platforms;cloud-governance;enterprise;standard,,
Cloud Platforms,Cloud Governance,Approved,Azure Policy,2026.1,Azure Policy is used for cloud governance within the cloud platforms domain.,Approved for Cloud Governance. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",Azure,Strategic,EA-STD-0030,cloud platforms;cloud-governance;enterprise;standard,,
Cloud Platforms,Cloud Governance,Conditional,AWS Organizations,2026.2,AWS Organizations is used for cloud governance within the cloud platforms domain.,Conditional for Cloud Governance. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",AWS,Standard,EA-STD-0031,cloud platforms;cloud-governance;enterprise;standard,,
Cloud Platforms,Cloud Governance,UnderReview,AWS Organizations,2026.3,AWS Organizations is used for cloud governance within the cloud platforms domain.,UnderReview for Cloud Governance. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",AWS,Allowed,EA-STD-0032,cloud platforms;cloud-governance;enterprise;standard,,
Cloud Platforms,Cloud Governance,Deprecated,AWS Organizations,2026.4,AWS Organizations is used for cloud governance within the cloud platforms domain.,Deprecated for Cloud Governance. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",AWS,Restricted,EA-STD-0033,cloud platforms;cloud-governance;enterprise;standard,,
Cloud Platforms,Cloud Governance,Exception,GCP Organization Policy,2026.5,GCP Organization Policy is used for cloud governance within the cloud platforms domain.,Exception for Cloud Governance. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",GCP,Sunset,EA-STD-0034,cloud platforms;cloud-governance;enterprise;standard,,
Cloud Platforms,Cloud Governance,Approved,GCP Organization Policy,2026.1,GCP Organization Policy is used for cloud governance within the cloud platforms domain.,Approved for Cloud Governance. Follow enterprise reference architecture and security controls.,"ARB: Validate scope, integration, and operational readiness.",GCP,Strategic,EA-STD-0035,cloud platforms;cloud-governance;enterprise;standard,,
