Capabilities,SubCapability,TEBStatus,NameofTools,Version,StandardsComments,EANotes,Manufacturer,StandardCategory,EAReferenceID,Description,MetaTags,MetaTagsDescription,CapabilityManager
Identity & Access Mgmt,Observability,TEB Approved,GitHub Actions,3.3.3,Deprecated for new deployments; maintain only.,Provisional until further risk assessment is complete.,NVIDIA,Provisional Standard,EA9600133,"GitHub Actions is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Networking, Data Engineering, PII",Networking: scope or capability related to networking. Data Engineering: scope or capability related to data engineering. PII: scope or capability related to pii.,Avery Jackson
DevOps,Queueing,TEB Not Approved,Prometheus,3.0.2,Enable logging and tag resources for cost allocation.,Requires private endpoint and managed identity configuration.,Databricks,Product Standard,EA3511615,"Prometheus is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Backup, Semantic Ranker, Microservices, Contact Center, Edge",Backup: scope or capability related to backup. Semantic Ranker: scope or capability related to semantic ranker. Microservices: scope or capability related to microservices. Contact Center: scope or capability related to contact center. Edge: scope or capability related to edge.,Morgan Martinez
Finance Tools,ETL/ELT,TEB Approved,Blob Storage,3.9.5,Document architecture in the catalog and link runbooks.,Meets security baselines and compliance requirements.,Google,Provisional Standard,EA3413164,"Blob Storage is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Disaster Recovery, LLM Orchestration, Analytics, Microservices, Edge, Data Engineering",Disaster Recovery: scope or capability related to disaster recovery. LLM Orchestration: scope or capability related to llm orchestration. Analytics: scope or capability related to analytics. Microservices: scope or capability related to microservices. Edge: scope or capability related to edge. Data Engineering: scope or capability related to data engineering.,Avery Williams
AI/ML,Routing,Under Review,Dataflow,2.8.3,Deprecated for new deployments; maintain only.,Hybrid retrieval and strict filtering supported.,Redis Labs,Reference Standard,EA8350305,"Dataflow is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Semantic Ranker, Customer Experience, Data Engineering, Cloud Communications, PII, RAG",Semantic Ranker: scope or capability related to semantic ranker. Customer Experience: scope or capability related to customer experience. Data Engineering: scope or capability related to data engineering. Cloud Communications: scope or capability related to cloud communications. PII: scope or capability related to pii. RAG: scope or capability related to rag.,Sam Thomas
Analytics,ETL/ELT,Deprecated,Kong Gateway,3.2.3,Vendor support SLA reviewed by procurement.,Vendor support SLA reviewed by procurement.,Databricks,Legacy,EA6965328,"Kong Gateway is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Customer Experience, Cache, Contact Center, Agent Assist, UC Platform, Disaster Recovery",Customer Experience: scope or capability related to customer experience. Cache: scope or capability related to cache. Contact Center: scope or capability related to contact center. Agent Assist: scope or capability related to agent assist. UC Platform: scope or capability related to uc platform. Disaster Recovery: scope or capability related to disaster recovery.,Taylor White
Identity & Access Mgmt,Queueing,Under Review,Pub/Sub Lite,4.6.9,Hybrid retrieval and strict filtering supported.,Vendor support SLA reviewed by procurement.,Databricks,Legacy,EA0184514,"Pub/Sub Lite is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Analytics, Automation, AI Experience Platform, Edge, Semantic Ranker, Serverless",Analytics: scope or capability related to analytics. Automation: scope or capability related to automation. AI Experience Platform: scope or capability related to ai experience platform. Edge: scope or capability related to edge. Semantic Ranker: scope or capability related to semantic ranker. Serverless: scope or capability related to serverless.,Kendall Kim
DevOps,Observability,Provisional Standard,LangChain Server,2.2.5,Deprecated for new deployments; maintain only.,Vendor support SLA reviewed by procurement.,MongoDB,Provisional Standard,EA9570154,"LangChain Server is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Contact Center, Vector Search, Cloud Communications, Customer Experience",Contact Center: scope or capability related to contact center. Vector Search: scope or capability related to vector search. Cloud Communications: scope or capability related to cloud communications. Customer Experience: scope or capability related to customer experience.,Jordan Jackson
Analytics,Routing,Under Review,Jenkins,2.2.7,Vendor support SLA reviewed by procurement.,Deprecated for new deployments; maintain only.,Databricks,Legacy,EA9638346,"Jenkins is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Automation, Serverless, Agent Assist, Vector Search, Customer Experience",Automation: scope or capability related to automation. Serverless: scope or capability related to serverless. Agent Assist: scope or capability related to agent assist. Vector Search: scope or capability related to vector search. Customer Experience: scope or capability related to customer experience.,Drew Nguyen
Monitoring,Backup & DR,TEB Not Approved,Synapse,2.0.1,Approved as a standard for enterprise use.,Meets security baselines and compliance requirements.,Google,Provisional Standard,EA5183473,"Synapse is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Edge, Cloud Communications, DevOps, Vector Search",Edge: scope or capability related to edge. Cloud Communications: scope or capability related to cloud communications. DevOps: scope or capability related to devops. Vector Search: scope or capability related to vector search.,Kendall Wilson
Messaging,Queueing,TEB Not Approved,Event Hubs,1.6.5,Enable logging and tag resources for cost allocation.,Enable logging and tag resources for cost allocation.,VMware,Provisional Standard,EA1065133,"Event Hubs is used to deliver scalable, reliable capabilities for enterprise workloads. It integrates with identity, networking, and observability services for end‑to‑end governance. Standard deployment patterns include IaC templates, private networking, and workload identities. Security hardening follows CIS benchmarks and zero‑trust principles where applicable. Operational guidance includes backup, monitoring, alerting, and cost optimization practices.","Networking, Automation, UC Platform, Observability",Networking: scope or capability related to networking. Automation: scope or capability related to automation. UC Platform: scope or capability related to uc platform. Observability: scope or capability related to observability.,Taylor Williams
