Capabilities,SubCapability,TEBStatus,NameofTools,Version,ToolDescription,StandardsComments,EANotes,Manufacturer,StandardCategory,EAReferenceID,MetaTags,MetaTagsDescription,CapabilityManager
Cloud Platforms,Cloud Governance,Approved,Azure Policy,2026.01,Policy-as-code guardrails for cloud compliance and standard configurations.,"Approved for new solutions under Cloud Platforms / Cloud Governance. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Strategic,EA-STD-0001,cloud;guardrails;landing-zone;policy-as-code;compliance,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Cloud Platforms,Cloud Governance,Conditional,AWS Organizations,2026.01,Multi-account governance and policy controls for AWS environments.,"Conditionally allowed for Cloud Platforms / Cloud Governance when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,Amazon Web Services,Allowed,EA-STD-0002,cloud;guardrails;multi-account;governance;regions,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Cloud Platforms,IaaS Compute,Approved,Azure Virtual Machines,2026.01,Virtual machine compute for workloads requiring OS-level control.,"Approved for new solutions under Cloud Platforms / IaaS Compute. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Standard,EA-STD-0003,cloud;compute;networking;regions;landing-zone,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Cloud Platforms,IaaS Compute,Approved,AWS EC2,2026.01,Elastic compute instances for IaaS workloads and lift-and-shift migrations.,"Approved for new solutions under Cloud Platforms / IaaS Compute. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Amazon Web Services,Standard,EA-STD-0004,cloud;compute;cost-management;regions;networking,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Cloud Platforms,IaaS Compute,Approved,Google Compute Engine,2026.01,IaaS compute for workloads hosted on Google Cloud.,"Approved for new solutions under Cloud Platforms / IaaS Compute. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Google Cloud,Allowed,EA-STD-0005,cloud;compute;regions;networking;guardrails,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Cloud Platforms,Container Platform,Approved,Azure Kubernetes Service (AKS),2026.01,Managed Kubernetes platform for containerized applications.,"Approved for new solutions under Cloud Platforms / Container Platform. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Microsoft,Strategic,EA-STD-0006,kubernetes;containers;platform;networking;observability,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Cloud Platforms,Container Platform,Approved,Amazon EKS,2026.01,Managed Kubernetes control plane for AWS container workloads.,"Approved for new solutions under Cloud Platforms / Container Platform. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Amazon Web Services,Strategic,EA-STD-0007,kubernetes;containers;platform;cloud;landing-zone,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Cloud Platforms,Container Platform,Conditional,Google Kubernetes Engine (GKE),2026.01,Managed Kubernetes platform on Google Cloud.,"Conditionally allowed for Cloud Platforms / Container Platform when the strategic standard is not feasible (e.g., vendor constraint or legacy). Requires ARB justification, security review, and documented support model before production.",ARB: Provide alternatives analysis and rationale. Document compensating controls and confirm support/operating model.,Google Cloud,Allowed,EA-STD-0008,kubernetes;containers;platform;cloud;regions,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Cloud Platforms,Serverless Functions,Approved,AWS Lambda,2026.01,Event-driven serverless compute for short-lived functions.,"Approved for new solutions under Cloud Platforms / Serverless Functions. Use enterprise reference patterns, integrate with centralized logging/monitoring, and follow data classification and security controls.","ARB: Confirm ownership, runbooks, and audit logging. Validate least-privilege access and operational readiness before go-live.",Amazon Web Services,Strategic,EA-STD-0009,serverless;paas;events;cloud;cost-management,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
Cloud Platforms,Serverless Functions,UnderReview,Azure Functions,2026.01,Serverless compute for event-based processing on Azure.,Under review for Cloud Platforms / Serverless Functions. Allowed for evaluation/pilot only. Production use requires an approved exception and re-review.,ARB: Allow non-production pilots only with success criteria and rollback plan. Re-review prior to production.,Microsoft,Restricted,EA-STD-0010,serverless;events;paas;cloud;observability,Tags highlight key characteristics and related architecture keywords to improve search and review context.,
